n	tiempo
0	0
500	0
1000	0.015
1500	0.016
2000	0.047
2500	0.047
3000	0.093
3500	0.094
4000	0.172
4500	0.141
5000	0.187
5500	0.219
6000	0.25
6500	0.297
7000	0.344
7500	0.359
8000	0.438
8500	0.578
9000	0.594
9500	0.656
